"","topic"
"div309.030915","Royal Hospital Haslar"
"div310.030915","Orders of the Day"
"div311.030915","Orders of the Day"
"div312.030916","Electricity Supply"
"div313.030916","EU Constitution"
"div314.030916","EU Constitution"
"div316.030917","Northern Ireland (Monitoring Commission etc.) Bill (Allocation of Time)"
"div317.030917","Northern Ireland (Monitoring Commission etc.) Bill [Lords]"
"div318.030917","Northern Ireland (Monitoring Commission etc.) Bill [Lords]"
"div319.030917","Northern Ireland (Monitoring Commission etc.) Bill [Lords]"
"div315.030917","Deferred Division"
"div320.030917","Deferred Division"
"div321.030917","Deferred Division"
"div322.030917","Local Government Bill"
"div323.031014","Crime (International Co-operation) Bill [Lords]"
"div324.031015","State Pension Reform"
"div325.031015","Neighbourhood Policing"
"div326.031015","Neighbourhood Policing"
"div327.031020","Courts Bill [Lords]"
"div328.031020","Courts Bill [Lords]"
"div329.031020","Courts Bill [Lords]"
"div330.031020","Courts Bill [Lords]"
"div331.031021","European Parliamentary and Local Elections (Pilots) Bill"
"div332.031021","European Parliamentary and Local Elections (Pilots) Bill"
"div333.031021","European Parliamentary and Local Elections (Pilots) Bill"
"div335.031022","Iraq (Judicial Inquiry)"
"div336.031022","Iraq (Judicial Inquiry)"
"div334.031022","Deferred Division"
"div337.031027","Defence Policy"
"div338.031027","Health Care Targets"
"div339.031027","Health Care Targets"
"div340.031028","Waste and Emissions Trading Bill [Lords]"
"div341.031028","Waste and Emissions Trading Bill [Lords]"
"div342.031028","Waste and Emissions Trading Bill [Lords]"
"div343.031029","European Parliamentary and Local Elections (Pilots) Bill (Programme) (No. 2)"
"div344.031029","Dangerous Drugs"
"div345.031029","Mersey Tunnels Bill"
"div346.031030","Pay for Chairmen of Select Committees"
"div347.031030","Pay for Chairmen of Select Committees"
"div348.031103","Sexual Offences Bill [Lords]"
"div349.031103","Sexual Offences Bill [Lords]"
"div350.031105","Decommissioning (Northern Ireland)"
"div351.031105","Water Bill [Lords] (Programme) (No. 3)"
"div352.031106","Modernisation"
"div353.031106","Modernisation"
"div354.031110","Water Bill [Lords]"
"div355.031110","Water Bill [Lords]"
"div356.031110","Water Bill [Lords]"
"div357.031110","Water Bill [Lords]"
"div358.031110","Water Bill [Lords]"
"div359.031112","Constitution for Europe (Referendum)"
"div360.031112","Fire Services Bill"
"div361.031112","Taxes"
"div362.031112","Taxes"
"div363.031117","Courts Bill [Lords] (Programme) (No. 2)"
"div364.031117","Anti-social Behaviour Bill (Programme) (No. 3)"
"div365.031117","Anti-social Behaviour Bill"
"div366.031117","Anti-social Behaviour Bill"
"div367.031117","Anti-social Behaviour Bill"
"div368.031118","Grammar Schools (Ballots and Consultation)"
"div369.031118","Sexual Offences Bill [Lords]"
"div370.031118","Criminal Justice Bill (Programme)"
"div371.031118","Criminal Justice Bill"
"div372.031118","Criminal Justice Bill"
"div373.031118","Criminal Justice Bill"
"div374.031118","Criminal Justice Bill"
"div375.031118","Criminal Justice Bill"
"div376.031118","Criminal Justice Bill"
"div377.031118","Criminal Justice Bill"
"div378.031118","Criminal Justice Bill"
"div379.031118","Criminal Justice Bill"
"div380.031119","Health and Social Care (Community Health and Standards) Bill (Programme) (No. 3)"
"div381.031119","Health and Social Care (Community Health and Standards) Bill"
"div382.031119","Health and Social Care (Community Health and Standards) Bill"
"div383.031119","Health and Social Care (Community Health and Standards) Bill"
"div384.031119","Health and Social Care (Community Health and Standards) Bill"
"div385.031119","Criminal Justice Bill"
"div386.031119","Criminal Justice Bill"
"div387.031119","Criminal Justice Bill"
"div388.031119","Health and Social Care (Community Health and Standards) Bill"
"div389.031120","Sittings of the House"
"div390.031120","Sittings of the House"
"div001.031203","Public Services, Health and Education"
"div002.031204","The Economy"
"div003.031204","The Economy"
"div004.031204","The Economy"
"div005.031208","Planning and Compulsory Purchase Bill"
"div006.031209","Planning and Compulsory Purchase Bill"
"div007.031209","Planning and Compulsory Purchase Bill"
"div008.031215","Child Trust Funds Bill"
"div009.031215","Child Trust Funds Bill"
"div010.031216","European Parliamentary and Local Elections (Pilots) Bill"
"div011.031216","European Parliamentary and Local Elections (Pilots) Bill"
"div012.031216","European Parliamentary and Local Elections (Pilots) Bill"
"div013.031216","European Parliamentary and Local Elections (Pilots) Bill"
"div014.031216","European Parliamentary and Local Elections (Pilots) Bill"
"div017.031217","Asylum and Immigration (Treatment of Claimants, etc.) Bill"
"div018.031217","Asylum and Immigration (Treatment of Claimants, etc.) Bill"
"div015.031217","Deferred Division"
"div016.031218","Illegal Camping"
"div019.040105","Traffic Management Bill"
"div020.040105","Traffic Management Bill"
"div021.040106","National Insurance Contributions and Statutory Payments Bill"
"div022.040107","NHS Performance Indicators"
"div023.040107","Care Homes"
"div024.040108","Horserace Betting and Olympic Lottery Bill"
"div025.040112","Housing Bill"
"div026.040112","Housing Bill"
"div027.040113","National Audit Office Report on Operation Telic"
"div028.040113","Future of the Post Office Network"
"div029.040113","Future of the Post Office Network"
"div030.040114","Employment Relations Bill"
"div031.040114","Employment Relations Bill"
"div032.040119","Civil Contingencies Bill"
"div033.040120","Crown Employment (Nationality)"
"div034.040121","Case for a Civil Service Bill"
"div035.040121","Scottish Constituencies (Members' Voting Rights)"
"div036.040121","Scottish Constituencies (Members' Voting Rights)"
"div037.040126","Fire and Rescue Services Bill"
"div038.040127","Higher Education Bill"
"div039.040127","Higher Education Bill"
"div040.040202","Horserace Betting and Olympic Lottery Bill"
"div041.040202","Horserace Betting and Olympic Lottery Bill"
"div042.040203","Child Trust Funds Bill"
"div043.040203","Child Trust Funds Bill"
"div044.040205","Higher Education Bill (Programme) (No. 2)"
"div045.040205","Police"
"div046.040205","Local Government Finance"
"div047.040209","Scottish Parliament (Constituencies) Bill"
"div048.040209","Scottish Parliament (Constituencies) Bill"
"div049.040209","Scottish Parliament (Constituencies) Bill"
"div050.040210","The Environment"
"div051.040210","Local Taxation"
"div052.040211","Northern Ireland"
"div053.040211","Regional Assemblies"
"div054.040211","Regional Assemblies"
"div055.040223","Gender Recognition Bill"
"div056.040224","Pension Scheme Wind-ups"
"div057.040224","Pension Scheme Wind-ups"
"div058.040225","School Admissions (Prohibition of Religious Discrimination)"
"div059.040225","Anti-terrorism, Crime and Security"
"div060.040226","Employment Relations Bill [Money]"
"div061.040301","Asylum and Immigration (Treatment of Claimants, Etc.) Bill"
"div062.040301","Asylum and Immigration (Treatment of Claimants, Etc.) Bill"
"div063.040301","Asylum and Immigration (Treatment of Claimants, Etc.) Bill"
"div064.040301","Asylum and Immigration (Treatment of Claimants, Etc.) Bill"
"div065.040301","Asylum and Immigration (Treatment of Claimants, Etc.) Bill"
"div066.040301","Asylum and Immigration (Treatment of Claimants, Etc.) Bill"
"div067.040301","Asylum and Immigration (Treatment of Claimants, Etc.) Bill"
"div068.040302","Pensions Bill"
"div069.040302","Pensions Bill"
"div070.040302","Pensions Bill"
"div071.040303","Deferred Division"
"div072.040303","Trade Justice for the Developing World"
"div073.040303","Protection of Vulnerable Children"
"div074.040303","Protection of Vulnerable Children"
"div075.040303","Protection of Vulnerable Children"
"div076.040308","Points of Order"
"div077.040308","European Parliamentary and Local Elections (Pilots) Bill"
"div078.040308","European Parliamentary and Local Elections (Pilots) Bill"
"div079.040308","European Parliamentary and Local Elections (Pilots) Bill"
"div080.040309","Iraq (Attorney-General's Advice)"
"div081.040309","Young People and Democracy"
"div082.040309","Young People and Democracy"
"div083.040310","Justice (Northern Ireland) Bill [Lords]"
"div084.040310","Justice (Northern Ireland) Bill [Lords]"
"div085.040310","Justice (Northern Ireland) Bill [Lords]"
"div086.040315","Fire and Rescue Services Bill"
"div087.040315","Fire and Rescue Services Bill"
"div088.040315","Fire and Rescue Services Bill"
"div089.040315","Fire and Rescue Services Bill"
"div090.040316","Traffic Management Bill"
"div091.040316","Traffic Management Bill"
"div092.040316","Traffic Management Bill"
"div093.040316","Traffic Management Bill"
"div094.040316","European Parliamentary and Local Elections (Pilots) Bill"
"div095.040316","European Parliamentary and Local Elections (Pilots) Bill"
"div096.040316","European Parliamentary and Local Elections (Pilots) Bill"
"div097.040323","Budget Resolutions and Economic Situation"
"div098.040323","Budget Resolutions and Economic Situation"
"div099.040323","Budget Resolutions and Economic Situation"
"div100.040323","Budget Resolutions and Economic Situation"
"div101.040323","Budget Resolutions and Economic Situation"
"div102.040323","Budget Resolutions and Economic Situation"
"div103.040323","Budget Resolutions and Economic Situation"
"div104.040323","Budget Resolutions and Economic Situation"
"div105.040323","Budget Resolutions and Economic Situation"
"div106.040324","Deferred Division"
"div107.040324","Post Office Services"
"div108.040324","Post Office Services"
"div109.040324","European Parliamentary and Local Elections (Pilots) Bill"
"div110.040325","Employment Relations Bill (Programme) (No. 3)"
"div111.040326","Genetically Modified Organisms Bill"
"div112.040329","European Parliamentary and Local Elections (Pilots) Bill"
"div113.040329","Employment Relations Bill"
"div114.040329","Employment Relations Bill"
"div115.040329","Employment Relations Bill"
"div116.040330","Immigration Entry Clearance Standards"
"div117.040330","EU Constitution Referendum"
"div118.040330","EU Constitution Referendum"
"div119.040330","European Parliamentary and Local Elections (Pilots) Bill"
"div120.040331","Higher Education Bill (Programme) (No. 4)"
"div121.040331","Higher Education Bill"
"div122.040331","Higher Education Bill"
"div123.040331","Higher Education Bill"
"div124.040331","Higher Education Bill"
"div125.040331","Higher Education Bill"
"div126.040419","Planning and Compulsory Purchase Bill (Programme) (No. 2)"
"div127.040419","Planning and Compulsory Purchase Bill"
"div128.040419","Planning and Compulsory Purchase Bill"
"div129.040419","Planning and Compulsory Purchase Bill"
"div130.040419","Planning and Compulsory Purchase Bill"
"div131.040419","Planning and Compulsory Purchase Bill"
"div132.040419","Planning and Compulsory Purchase Bill"
"div133.040420","Finance Bill"
"div134.040421","Doctors' Hours"
"div135.040421","London"
"div136.040421","London"
"div137.040422","Points of Order"
"div138.040422","Security Screen"
"div139.040422","Security Screen"
"div140.040422","Security Screen"
"div141.040423","Protective Headgear for Young Cyclists Bill"
"div142.040426","Justice (Northern Ireland) Bill [Lords]"
"div143.040426","Justice (Northern Ireland) Bill [Lords]"
"div144.040426","Justice (Northern Ireland) Bill [Lords]"
"div145.040426","Justice (Northern Ireland) Bill [Lords]"
"div146.040426","Justice (Northern Ireland) Bill [Lords]"
"div147.040426","Justice (Northern Ireland) Bill [Lords]"
"div148.040427","Finance Bill"
"div149.040427","Finance Bill"
"div150.040427","Finance Bill"
"div151.040428","Finance Bill"
"div152.040428","Finance Bill"
"div153.040428","Finance Bill"
"div154.040429","Planning and Compulsory Purchase Bill"
"div155.040429","Planning and Compulsory Purchase Bill"
"div156.040429","Animal and Plant Diseases"
"div157.040504","Scottish Parliament (Constituencies) Bill"
"div158.040504","Scottish Parliament (Constituencies) Bill"
"div159.040505","Housing"
"div160.040505","Housing"
"div161.040506","Armed Forces (Pensions and Compensation) Bill"
"div162.040506","Armed Forces (Pensions and Compensation) Bill"
"div163.040506","Armed Forces (Pensions and Compensation) Bill"
"div164.040511","Housing Bill (Programme) (No. 2)"
"div165.040511","Housing Bill"
"div166.040511","Housing Bill"
"div167.040511","Housing Bill"
"div168.040511","Housing Bill"
"div169.040511","Visitor Facilities"
"div170.040511","Visitor Facilities"
"div171.040512","Deferred Division"
"div172.040512","Age-Related Payments Bill"
"div173.040513","Child Trust Funds Bill (Programme) (No. 3)"
"div174.040513","Child Trust Funds Bill"
"div175.040514",""
"div176.040517","Iraq"
"div177.040517","Local Government Finance"
"div178.040517","Local Government Finance"
"div179.040518","Pensions Bill (Programme) (No. 3)"
"div180.040518","Pensions Bill"
"div181.040519","Pensions Bill"
"div182.040521","Town and Country Planning (Telecommunications Masts) Bill"
"div183.040524","Civil Contingencies Bill"
"div184.040524","Civil Contingencies Bill"
"div185.040524","Civil Contingencies Bill"
"div186.040524","Civil Contingencies Bill"
"div187.040525","Gender Recognition Bill [Lords]"
"div188.040525","Gender Recognition Bill [Lords]"
"div189.040525","Gender Recognition Bill [Lords]"
"div190.040526","Local Government Finance"
"div191.040526","Town Planning"
"div192.040526","Town Planning"
"div193.040607","Nomination of Select Committees"
"div194.040607","Nomination of Select Committees"
"div195.040608","Age-Related Payments Bill"
"div196.040615","Trade Unions (Political Funds) Reform"
"div197.040615","Transport"
"div198.040621","Health Protection Agency Bill [Lords]"
"div199.040622","Electoral System"
"div200.040622","NHS Recruitment and Retention"
"div201.040623","Parliamentary Contributory Pension Fund"
"div202.040623","Higher Education Bill"
"div203.040623","Higher Education Bill"
"div204.040623","Higher Education Bill"
"div205.040623","Higher Education Bill"
"div206.040623","Higher Education Bill"
"div207.040623","Higher Education Bill"
"div208.040628","Human Tissue Bill"
"div209.040630","Regional Government"
"div210.040630","Business Deregulation"
"div211.040630","Business Deregulation"
"div212.040705","Postal Services"
"div213.040705","Personal Indebtedness and Savings"
"div214.040705","Personal Indebtedness and Savings"
"div215.040706","Finance Bill"
"div216.040706","Finance Bill"
"div217.040707","Deferred Division"
"div218.040707","Finance Bill"
"div219.040707","Finance Bill"
"div220.040707","Finance Bill"
"div221.040712","Asylum and Immigration (Treatment of Claimants, etc.) Bill (Programme) (No.3)"
"div222.040712","Asylum and Immigration (Treatment of Claimants, etc.) Bill"
"div223.040713","Energy Bill [Lords]"
"div224.040715","Traffic Management Bill [Ways and Means] [No.2]"
"div225.040715","Traffic Management Bill (Programme) (No. 2)"
"div226.040715","Traffic Management Bill"
"div227.040715","Traffic Management Bill"
"div228.040715","Traffic Management Bill"
"div229.040716","Cod Crusaders"
"div230.040719","Health Protection Agency Bill [Lords]"
"div231.040719","Health Protection Agency Bill [Lords]"
"div232.040719","Council Tax"
"div233.040719","Public Audit (Wales) Bill [Lords]"
"div234.040720","Iraq"
"div235.040720","Asylum and Immigration (Treatment of Claimants, etc.) Bill"
"div236.040721","Devolution"
"div237.040721","Devolution"
"div238.040908","Pensions Policy"
"div239.040908","Hospital-Acquired Infection"
"div240.040908","Hospital-Acquired Infection"
"div241.040913","Children Bill [Lords]"
"div242.040914","Higher Education"
"div243.040914","Higher Education"
"div244.040914","Older Women"
"div245.040914","Older Women"
"div246.040915","Hunting Bill (Procedure)"
"div247.040915","Hunting Bill (Procedure)"
"div248.040915","Hunting Bill (Procedure)"
"div249.040915","Hunting Bill (Procedure)"
"div250.040915","Hunting Bill"
"div251.040915","Hunting Bill"
"div252.040915","Hunting Bill"
"div253.040915","Hunting Bill"
"div254.041011","Mental Capacity Bill"
"div255.041011","Mental Capacity Bill"
"div256.041012","Civil Partnership Bill"
"div257.041012","Civil Partnership Bill"
"div258.041013","Pensions and Welfare Reform"
"div259.041013","Pensions and Welfare Reform"
"div260.041014","EU Justice and Home Affairs"
"div261.041014","EU Justice and Home Affairs"
"div262.041015","Fisheries"
"div263.041015","Crown Employment (Nationality) Bill"
"div264.041015","Sex Discrimination (Clubs and Other Private Associations) Bill"
"div265.041018","Crime"
"div266.041018","Crime"
"div267.041019","Companies (Audit, Investigations and Community Enterprise) Bill [Lords]"
"div268.041019","Companies (Audit, Investigations and Community Enterprise) Bill [Lords]"
"div269.041019","Companies (Audit, Investigations and Community Enterprise) Bill [Lords]"
"div270.041020","Delegated Legislation"
"div271.041020","Armed Forces (Pensions and Compensation"
"div272.041020","Armed Forces (Pensions and Compensation) Bill"
"div273.041020","Armed Forces (Pensions and Compensation) Bill"
"div274.041020","Armed Forces (Pensions and Compensation) Bill"
"div275.041025","University Admissions Policy"
"div276.041025","Wind Farms"
"div277.041025","Wind Farms"
"div278.041026","Programming of Bills"
"div279.041026","Programming of Bills"
"div280.041026","Programming of Bills"
"div281.041026","Programming of Bills"
"div282.041026","Programming of Bills"
"div283.041026","Programming of Bills"
"div284.041026","Programming of Bills"
"div285.041027","St. George's Day (Public Holiday)"
"div286.041027","Domestic Violence, Crime and Victims Bill [Lords] (Programme) (No.2)"
"div287.041027","Domestic Violence, Crime and Victims Bill [Lords]"
"div288.041027","Domestic Violence, Crime and Victims Bill [Lords]"
"div289.041027","Domestic Violence, Crime and Victims Bill [Lords]"
"div290.041027","Domestic Violence, Crime and Victims Bill [Lords]"
"div291.041027","Domestic Violence, Crime and Victims Bill [Lords]"
"div292.041027","Domestic Violence, Crime and Victims Bill [Lords]"
"div293.041028","School Transport Bill"
"div294.041028","School Transport Bill"
"div295.041028","School Transport Bill"
"div296.041101","Gambling Bill"
"div297.041101","Gambling Bill"
"div298.041101","Gambling Bill"
"div299.041101","Gambling Bill"
"div300.041102","Children Bill [Lords] (Programme) (No.2)"
"div301.041102","Children Bill [Lords]"
"div302.041102","Children Bill [Lords]"
"div303.041102","Children Bill [Lords]"
"div304.041102","Children Bill [Lords]"
"div305.041102","Children Bill [Lords]"
"div306.041102","Children Bill [Lords]"
"div307.041103","Members' Allowances"
"div308.041103","Members' Allowances"
"div309.041103","Sessional Orders and Resolutions"
"div310.041108","Housing Bill (Programme) (No. 3)"
"div311.041108","Housing Bill"
"div312.041108","Housing Bill"
"div313.041108","Housing Bill"
"div314.041109","Civil Partnerships Bill [Lords]"
"div315.041109","Civil Partnerships Bill [Lords]"
"div316.041110","Alcohol-Related Anti-Social Behaviour and Domestic Violence"
"div317.041111","Family Doctor Services"
"div318.041111","Family Doctor Services"
"div319.041115","Armed Forces (Pensions and Compensation) Bill"
"div320.041115","Pensions Bill [Ways and Means]"
"div321.041116","Pensions Bill (Programme) (No. 4)"
"div322.041116","Pensions Bill"
"div323.041116","Pensions Bill"
"div324.041116","Pensions Bill"
"div325.041116","Pensions Bill"
"div326.041116","Pensions Bill"
"div327.041116","Hunting Bill"
"div328.041116","Hunting Bill"
"div329.041116","Hunting Bill"
"div330.041116","Hunting Bill"
"div331.041117","Civil Contingencies Bill (Programme) (No. 2)"
"div332.041117","Civil Contingencies Bill"
"div333.041117","Civil Contingencies Bill"
"div334.041117","Civil Contingencies Bill"
"div335.041117","Civil Contingencies Bill"
"div336.041117","Pensions Bill"
"div337.041118","Hunting Bill (Procedure) (No. 3)"
"div338.041118","Hunting Bill"
"div339.041118","Hunting Bill"
"div340.041118","Hunting Bill"
"div001.041130","Health and Education"
"div002.041201","Economic Affairs"
"div003.041201","Economic Affairs"
"div004.041201","Economic Affairs"
"div005.041206","Railways Bill"
"div006.041206","Railways Bill"
"div007.041207","Serious Organised Crime and Police Bill"
"div008.041208","Commissioners for Revenue and Customs Bill"
"div009.041213","School Discipline"
"div010.041213","Family Justice"
"div011.041214","Mental Capacity Bill"
"div012.041214","Mental Capacity Bill"
"div013.041214","Mental Capacity Bill"
"div014.041214","Mental Capacity Bill"
"div015.041214","Mental Capacity Bill"
"div016.041214","Mental Capacity Bill"
"div017.041214","Mental Capacity Bill"
"div018.041216","Points of Order"
"div019.041216","School Transport Bill"
"div020.041216","School Transport Bill"
"div021.041216","School Transport Bill"
"div022.041216","School Transport Bill"
"div023.041220","Identity Cards Bill"
"div024.041220","Identity Cards Bill"
"div025.041220","Identity Cards Bill"
"div026.041220","Identity Cards Bill"
"div027.050110","Clean Neighbourhoods and Environment Bill"
"div028.050110","Clean Neighbourhoods and Environment Bill"
"div029.050110","Clean Neighbourhoods and Environment Bill"
"div030.050111","Road Safety Bill"
"div031.050112","Child Benefit Bill"
"div032.050113","Consumer Credit Bill"
"div033.050117","Constitutional Reform Bill [Lords]"
"div034.050117","Constitutional Reform Bill [Lords]"
"div035.050119","Value for Taxpayers' Money"
"div036.050119","Farming and Rural Communities"
"div037.050119","Farming and Rural Communities"
"div038.050124","Gambling Bill"
"div039.050124","Gambling Bill"
"div040.050124","Gambling Bill"
"div041.050124","Gambling Bill"
"div042.050124","Gambling Bill"
"div043.050124","Gambling Bill"
"div044.050125","Licensing Act 2003"
"div045.050125","Food Supplements Directive"
"div046.050125","Food Supplements Directive"
"div047.050126","Modernisation of the House of Commons"
"div048.050126","Modernisation of the House of Commons"
"div049.050126","Modernisation of the House of Commons"
"div050.050126","Modernisation of the House of Commons"
"div051.050126","Commissioners for Revenue and Customs Bill"
"div052.050127","Railways Bill"
"div053.050127","Railways Bill"
"div054.050127","Railways Bill"
"div055.050127","Railways Bill"
"div056.050131","Constitutional Reform Bill [Lords]"
"div057.050131","Constitutional Reform Bill [Lords]"
"div058.050131","Constitutional Reform Bill [Lords]"
"div059.050201","Constitutional Reform Bill [Lords]"
"div060.050201","Constitutional Reform Bill [Lords]"
"div061.050201","Constitutional Reform Bill [Lords]"
"div062.050201","Constitutional Reform Bill [Lords]"
"div063.050201","Constitutional Reform Bill [Lords]"
"div064.050203","Serious Organised Crime and Police Bill (Programme) (No. 2)"
"div065.050203","Child Benefit Bill (Programme) (No. 2)"
"div066.050203","Child Benefit Bill"
"div067.050204","Criminal Law (Amendment) (Householder Protection) Bill"
"div068.050204","Criminal Law (Amendment) (Householder Protection) Bill"
"div069.050207","Serious Organised Crime and Police Bill"
"div070.050207","Serious Organised Crime and Police Bill"
"div071.050207","Serious Organised Crime and Police Bill"
"div072.050207","Serious Organised Crime and Police Bill"
"div073.050207","Serious Organised Crime and Police Bill"
"div074.050207","Serious Organised Crime and Police Bill"
"div075.050207","Serious Organised Crime and Police Bill"
"div076.050208","Belmarsh Judgment"
"div077.050209","European Union Bill"
"div078.050209","European Union Bill"
"div079.050209","European Union Bill"
"div080.050210","Identity Cards Bill (Programme) (No. 2)"
"div081.050210","Identity Cards Bill"
"div082.050210","Identity Cards Bill"
"div083.050210","Identity Cards Bill"
"div084.050210","Identity Cards Bill"
"div085.050210","Identity Cards Bill"
"div086.050221","Clean Neighbourhoods and Environment Bill (Programme) (No. 2)"
"div087.050221","Clean Neighbourhoods and Environment Bill"
"div088.050221","Clean Neighbourhoods and Environment Bill"
"div089.050221","Clean Neighbourhoods and Environment Bill"
"div090.050221","Clean Neighbourhoods and Environment Bill"
"div091.050222","Drugs Bill (Programme) (No.2)"
"div092.050222","Drugs Bill"
"div093.050223","Prevention of Terrorism Bill"
"div094.050223","Prevention of Terrorism Bill"
"div095.050223","Prevention of Terrorism Bill"
"div096.050225",""
"div097.050225","Drugs (Sentencing and Commission of Inquiry) Bill"
"div098.050225","School Meals and Nutrition Bill"
"div099.050225","Right of Reply and Press Standards Bill"
"div100.050228","Prevention of Terrorism Bill (Programme) (No. 2)"
"div101.050228","Prevention of Terrorism Bill"
"div102.050228","Prevention of Terrorism Bill"
"div103.050228","Prevention of Terrorism Bill"
"div104.050228","Prevention of Terrorism Bill"
"div105.050301","Constitutional Reform Bill [Lords]"
"div106.050301","Constitutional Reform Bill [Lords]"
"div107.050301","Constitutional Reform Bill [Lords]"
"div108.050301","Constitutional Reform Bill [Lords]"
"div109.050301","Constitutional Reform Bill [Lords]"
"div110.050302","Council Tax"
"div111.050302","Hospital-acquired Infections"
"div112.050302","Hospital-acquired Infections"
"div113.050304","Health and Safety (Directors' Duties) Bill"
"div114.050307","Future European Union Finances"
"div115.050308","Road Safety Bill"
"div116.050308","Road Safety Bill"
"div117.050308","Road Safety Bill"
"div118.050308","Road Safety Bill"
"div119.050308","Road Safety Bill"
"div120.050308","Road Safety Bill"
"div121.050309","Future of the BBC"
"div122.050309","Prevention of Terrorism Bill"
"div123.050309","Prevention of Terrorism Bill"
"div124.050309","Prevention of Terrorism Bill"
"div125.050309","Prevention of Terrorism Bill"
"div126.050309","Prevention of Terrorism Bill"
"div127.050309","Prevention of Terrorism Bill"
"div128.050309","Prevention of Terrorism Bill"
"div129.050310","Support For Members Who Have Chosen Not To Take Their Seats"
"div130.050310","Support For Members Who Have Chosen Not To Take Their Seats"
"div131.050310","Prevention of Terrorism Bill"
"div132.050310","Prevention of Terrorism Bill"
"div133.050310","Prevention of Terrorism Bill"
"div134.050310","Prevention of Terrorism Bill"
"div135.050310","Prevention of Terrorism Bill"
"div136.050310","Prevention of Terrorism Bill"
"div137.050310","Prevention of Terrorism Bill"
"div138.050310","Prevention of Terrorism Bill"
"div139.050310","Prevention of Terrorism Bill"
"div140.050310","Prevention of Terrorism Bill"
"div141.050310","Prevention of Terrorism Bill"
"div142.050310","Prevention of Terrorism Bill"
"div143.050315","Inquiries Bill [Lords]"
"div144.050315","Inquiries Bill [Lords]"
"div145.050316","Budget Resolutions"
"div146.050316","Constitutional Reform Bill [Lords]"
"div147.050318",""
"div148.050318","Smoking in Public Places (Wales) Bill"
"div149.050322","Budget Resolutions and Economic Situation"
"div150.050405","Equality Bill"
"div151.050405","Mental Capacity Bill"
"div152.050405","Mental Capacity Bill"
"div153.050405","Mental Capacity Bill"
"div154.050406","Disability Discrimination Bill [Lords]"
"div155.050406","Railways Bill"
